feature,statistic,comparison,n_occupied,n_comparison,proteins_occupied,proteins_comparison,mean_occupied,mean_comparison,estimate,ci_low,ci_high,p,n_boot,family,q
distance_to_c_terminus_resolved,smd,bacterial,318,3231,233,1025,204.66352201257862,232.90653048591767,-0.14744831778708958,-0.2887922215169587,0.014643413131258932,0.067,2000,diagnostic,0.12884615384615386
n_ss_coarse==loop,mean_difference,bacterial,317,3222,232,1023,0.6435331230283912,0.6132836747361887,0.03024944829220244,-0.023800938791113127,0.08272541597989541,0.261,2000,diagnostic,0.36250000000000004
n_ss_coarse==helix,mean_difference,bacterial,317,3222,232,1023,0.11987381703470032,0.13842333954065797,-0.01854952250595765,-0.055519391386152694,0.02000520905493571,0.335,2000,diagnostic,0.4407894736842105
n_ss_coarse==sheet,mean_difference,bacterial,317,3222,232,1023,0.2334384858044164,0.23711980136561142,-0.0036813155611950255,-0.052261094049687096,0.04538404966577461,0.895,2000,diagnostic,0.895
plus1_ss_coarse==loop,mean_difference,bacterial,317,3222,232,1023,0.5962145110410094,0.5599006828057107,0.03631382823529872,-0.024873391717191096,0.09709042278936156,0.248,2000,diagnostic,0.36250000000000004
plus1_ss_coarse==helix,mean_difference,bacterial,317,3222,232,1023,0.17981072555205047,0.15921787709497207,0.0205928484570784,-0.02597317552704658,0.06865970797903186,0.406,2000,diagnostic,0.5075000000000001
plus1_ss_coarse==sheet,mean_difference,bacterial,317,3222,232,1023,0.22397476340694006,0.2740533829919305,-0.050078619584990436,-0.09895555197826719,7.432691964723093e-05,0.052,2000,diagnostic,0.10833333333333334
plus2_ss_coarse==loop,mean_difference,bacterial,317,3222,232,1023,0.5425867507886435,0.4872749844816884,0.05531176630695511,-0.006252672703064936,0.11933007772713551,0.077,2000,diagnostic,0.1375
plus2_ss_coarse==helix,mean_difference,bacterial,317,3222,232,1023,0.17350157728706625,0.16604593420235877,0.007455643084707475,-0.03899513562099519,0.057028522883904004,0.773,2000,diagnostic,0.8445652173913044
plus2_ss_coarse==sheet,mean_difference,bacterial,317,3222,232,1023,0.277602523659306,0.3382991930477964,-0.06069666938849039,-0.11680581983174475,-0.0052797010715593794,0.031,2000,diagnostic,0.07045454545454545
aromatic_within_8a==True,mean_difference,bacterial,318,3231,233,1025,0.5377358490566038,0.546580006190034,-0.00884415713343023,-0.07160768377592938,0.053868979023735365,0.777,2000,diagnostic,0.8445652173913044
n_rsa,smd,cytosolic,318,3407,233,1674,0.43757893081761007,0.33671429410038156,0.5022360169039437,0.390924987418745,0.6151739028688961,0.0005,2000,diagnostic,0.0010416666666666667
plus1_rsa,smd,cytosolic,318,3407,233,1674,0.2220191823899371,0.24389536248899324,-0.10180313025542607,-0.23047048055364905,0.03363580451990087,0.123,2000,diagnostic,0.1921875
plus2_rsa,smd,cytosolic,318,3407,233,1674,0.31667169811320756,0.2909067508071617,0.11491063064809824,-0.0033149998233830014,0.23808124300523165,0.056,2000,diagnostic,0.09333333333333334
loop_run_length,smd,cytosolic,204,2124,157,1267,7.504901960784314,7.297551789077213,0.035814364444108626,-0.11268898884340085,0.18346918555248717,0.637,2000,diagnostic,0.7238636363636364
n_neighbours_8a,smd,cytosolic,318,3407,233,1674,8.757861635220126,8.93630760199589,-0.07022448043737121,-0.18674787563066747,0.04610835679316073,0.222,2000,diagnostic,0.3264705882352941
nd2_atoms_8a_same_chain,smd,cytosolic,316,3223,232,1626,42.44303797468354,54.543282655910645,-0.5853883394056574,-0.6877356734289684,-0.4789345833954508,0.0005,2000,diagnostic,0.0010416666666666667
nd2_residues_8a_same_chain,smd,cytosolic,316,3223,232,1626,9.55379746835443,12.039094011790258,-0.5529886908083214,-0.6525020939348153,-0.4495838629234421,0.0005,2000,diagnostic,0.0010416666666666667
nd2_atoms_8a_other_chain,smd,cytosolic,316,3223,232,1626,1.4525316455696202,4.398386596338815,-0.3185467021998071,-0.4177049638224777,-0.22350816112589153,0.0005,2000,diagnostic,0.0010416666666666667
sidechain_neighbour_residues_5a,smd,cytosolic,317,3383,232,1667,5.018927444794953,5.6050842447531775,-0.31241889752107604,-0.4252261157935834,-0.19567212466673203,0.0005,2000,diagnostic,0.0010416666666666667
neighbour_net_charge_8a,smd,cytosolic,318,3407,233,1674,-0.025157232704402517,0.000293513354857646,-0.021818605088211113,-0.12046720333118431,0.08925964019238015,0.725,2000,diagnostic,0.7880434782608695
neighbour_hydrophobic_fraction_8a,smd,cytosolic,318,3407,233,1674,0.2831185534591195,0.2772912533020252,0.03541590237501888,-0.10255976829418086,0.16580664468444037,0.597,2000,diagnostic,0.7238636363636364
neighbour_aromatic_fraction_8a,smd,cytosolic,318,3407,233,1674,0.08487201257861635,0.08170123275609041,0.03317425166240514,-0.08087993913117031,0.15061273894334687,0.603,2000,diagnostic,0.7238636363636364
nearest_aromatic_sidechain_nd2,smd,cytosolic,314,3197,231,1615,8.428025477707006,7.769311854863935,0.2148503973833804,0.10039130400671582,0.3346915420902167,0.001,2000,diagnostic,0.0019230769230769232
uniprot_residues_after_asn,smd,cytosolic,318,0,233,0,299.8207547169811,,,,,,2000,diagnostic,
uniprot_residues_after_sequon,smd,cytosolic,318,0,233,0,297.8207547169811,,,,,,2000,diagnostic,
distance_to_n_terminus_resolved,smd,cytosolic,318,3407,233,1674,149.19811320754718,266.67185206926916,-0.3945099689250493,-0.47309055457685534,-0.31813598825466916,0.0005,2000,diagnostic,0.0010416666666666667
distance_to_c_terminus_resolved,smd,cytosolic,318,3407,233,1674,204.66352201257862,259.729967713531,-0.18755133570719967,-0.2986058881704706,-0.05000160850805358,0.012,2000,diagnostic,0.02142857142857143
n_ss_coarse==loop,mean_difference,cytosolic,317,3405,232,1673,0.6435331230283912,0.6237885462555066,0.019744576772884548,-0.03555266676542066,0.07223735277005894,0.473,2000,diagnostic,0.6569444444444444
n_ss_coarse==helix,mean_difference,cytosolic,317,3405,232,1673,0.11987381703470032,0.24787077826725404,-0.12799696123255372,-0.1666775664826048,-0.08662062047299901,0.0005,2000,diagnostic,0.0010416666666666667
n_ss_coarse==sheet,mean_difference,cytosolic,317,3405,232,1673,0.2334384858044164,0.1209985315712188,0.1124399542331976,0.06380782963303211,0.1618894371905437,0.0005,2000,diagnostic,0.0010416666666666667
plus1_ss_coarse==loop,mean_difference,cytosolic,317,3405,232,1673,0.5962145110410094,0.5944199706314244,0.0017945404095850437,-0.05571010039309755,0.06196155093213086,0.979,2000,diagnostic,0.9789999999999999
plus1_ss_coarse==helix,mean_difference,cytosolic,317,3405,232,1673,0.17981072555205047,0.27812041116005876,-0.09830968560800829,-0.14643439926999396,-0.05101436140681209,0.0005,2000,diagnostic,0.0010416666666666667
plus1_ss_coarse==sheet,mean_difference,cytosolic,317,3405,232,1673,0.22397476340694006,0.12041116005873716,0.1035636033482029,0.05932593081584825,0.15198158985023608,0.0005,2000,diagnostic,0.0010416666666666667
plus2_ss_coarse==loop,mean_difference,cytosolic,317,3405,232,1673,0.5425867507886435,0.5453744493392071,-0.0027876985505636,-0.06768323582119487,0.06155581324337446,0.949,2000,diagnostic,0.9789999999999999
plus2_ss_coarse==helix,mean_difference,cytosolic,317,3405,232,1673,0.17350157728706625,0.28928046989721,-0.11577889261014376,-0.16604519736987852,-0.0655947345543409,0.0005,2000,diagnostic,0.0010416666666666667
plus2_ss_coarse==sheet,mean_difference,cytosolic,317,3405,232,1673,0.277602523659306,0.15301027900146844,0.12459224465783755,0.07307425962280588,0.17953439267289528,0.0005,2000,diagnostic,0.0010416666666666667
aromatic_within_8a==True,mean_difference,cytosolic,318,3407,233,1674,0.5377358490566038,0.5224537716466099,0.015282077409993877,-0.041869559474344835,0.07357944911685696,0.621,2000,diagnostic,0.7238636363636364
